Method,Mean,Std
Baseline,0.1611,0.0000
RCP,0.2013,0.0000
Random,0.1946,0.0000
Hybrid,0.5839,0.0000
Bi-level,0.5369,0.0000
Bimodal+Random,0.6040,0.0000
Random+RL,0.1946,0.0000
GA+RL,0.7517,0.0000
Onion+Ra,0.4966,0.0000
Onion+RL,0.7450,0.0000
SOLO+Ra,0.6174,0.0000
SOLO+RL,0.6510,0.0000
