Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9592,2.7726,2.6637,0.2296
RCP,0.9592,2.7726,3.0721,0.3035
Bi-level,0.8427,2.4288,2.4800,0.3738
Bimodal+Random,0.8427,2.4288,2.2779,0.3616
Random+RL,0.1733,0.0448,0.3582,0.3927
GA+RL,0.8737,2.4099,2.1719,0.3599
Onion+Ra,0.9446,2.7109,2.3071,0.2757
Onion+RL,0.9446,2.7109,2.1033,0.1951
SOLO+Ra,0.9592,2.7726,2.5912,0.2655
SOLO+RL,0.9592,2.7726,2.5966,0.3736
ROMEN+Ra,0.9592,2.7726,2.7109,0.2701
ROMEN+RL,0.9592,2.7726,3.1088,0.3464
