Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9592,2.7726,2.6252,0.1789
RCP,0.9592,2.7726,3.0721,0.3784
Bi-level,0.1707,0.7376,0.5195,0.3400
Bimodal+Random,0.1707,0.7376,0.4018,0.0590
Random+RL,0.3134,0.5450,0.7055,0.3764
GA+RL,0.8688,2.3563,2.1059,0.3051
Onion+Ra,0.9446,2.7109,2.3065,0.3380
Onion+RL,0.9446,2.7109,2.4803,0.4104
SOLO+Ra,0.9592,2.7726,2.4586,0.1682
SOLO+RL,0.9592,2.7726,2.6887,0.2567
ROMEN+Ra,0.9592,2.7726,2.6433,0.1390
ROMEN+RL,0.9592,2.7726,3.1088,0.3847
BimodalRL,0.9592,2.7726,3.1088,0.3847
