Method,Mean,Std
Baseline,0.3490,0.1611
RCP,0.6144,0.0000
Bi-level,0.7908,0.0000
Bimodal+Random,0.1961,0.2982
Random+RL,0.8353,0.1010
GA+RL,0.5569,0.1608
Onion+Ra,0.5647,0.0600
Onion+RL,0.7033,0.0825
SOLO+Ra,0.2876,0.1429
SOLO+RL,0.4876,0.1005
ROMEN+Ra,0.2092,0.1133
ROMEN+RL,0.6144,0.0000
BimodalRL,0.6144,0.0000
