Method,Mean,Std
Baseline,0.0957,0.0000
RCP,0.1129,0.0000
Bi-level,0.3604,0.0000
Bimodal+Random,0.0525,0.0000
Random+RL,0.3332,0.0000
GA+RL,0.3438,0.0000
Onion+Ra,0.3672,0.0000
Onion+RL,0.4518,0.0000
SOLO+Ra,0.2986,0.0000
SOLO+RL,0.3081,0.0000
ROMEN+Ra,0.0510,0.0000
ROMEN+RL,0.1191,0.0000
