Method,Mean,Std
Baseline,0.3817,0.0000
RCP,0.1792,0.0000
Bi-level,0.3302,0.0000
GA+RL,0.2428,0.0000
Onion+Ra,0.5252,0.0000
Onion+RL,0.4638,0.0000
ROMEN+Ra,0.3129,0.0000
ROMEN+RL,0.5573,0.0000
BimodalRL,0.5573,0.0000
UNITY+Ra,0.3386,0.0000
UNITY+RL,0.2279,0.0000
