Method,Mean,Std
Baseline,0.5700,0.0000
RCP,0.2600,0.0000
Bi-level,0.5000,0.0000
GA+RL,0.5000,0.0000
Onion+Ra,0.7700,0.0000
Onion+RL,0.8300,0.0000
ROMEN+Ra,0.5300,0.0000
ROMEN+RL,0.1200,0.0000
BimodalRL,0.1200,0.0000
UNITY+Ra,0.5800,0.0000
UNITY+RL,0.4800,0.0000
