Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9179,1.6094,2.1847,0.0661
RCP,0.9179,1.6094,2.8874,0.4108
Bi-level,0.9179,1.6094,2.3325,0.4295
Bimodal+Random,0.9179,1.6094,1.6820,0.2935
Random+RL,0.8647,1.3863,1.6265,0.1988
GA+RL,0.9179,1.6094,1.9135,0.4385
Onion+Ra,0.8519,1.4179,1.7365,0.0840
Onion+RL,0.8519,1.4179,2.5405,0.4677
SOLO+Ra,0.9179,1.6094,1.7894,0.3439
SOLO+RL,0.9179,1.6094,2.0016,0.4253
ROMEN+Ra,0.9179,1.6094,2.1149,0.0667
ROMEN+RL,0.9179,1.6094,2.9279,0.3700
