Method,Mean,Std
Baseline,0.1190,0.0000
RCP,0.5952,0.0000
Bi-level,0.6905,0.0000
Bimodal+Random,0.6905,0.0000
Random+RL,0.2857,0.0000
GA+RL,1.0000,0.0000
Onion+Ra,0.1667,0.0000
Onion+RL,0.9524,0.0000
SOLO+Ra,0.5238,0.0000
SOLO+RL,0.6429,0.0000
ROMEN+Ra,0.1190,0.0000
ROMEN+RL,0.5238,0.0000
