Method,Mean,Std
Baseline,0.0661,0.0000
RCP,0.4108,0.0000
Bi-level,0.4295,0.0000
Bimodal+Random,0.2935,0.0000
Random+RL,0.1988,0.0000
GA+RL,0.4385,0.0000
Onion+Ra,0.0840,0.0000
Onion+RL,0.4677,0.0000
SOLO+Ra,0.3439,0.0000
SOLO+RL,0.4253,0.0000
ROMEN+Ra,0.0667,0.0000
ROMEN+RL,0.3700,0.0000
