Method,Mean,Std
Baseline,0.2242,0.0086
RCP,0.4410,0.0000
Bi-level,0.4176,0.0000
Bimodal+Random,0.4192,0.0540
Random+RL,0.4727,0.0531
GA+RL,0.4709,0.0548
Onion+Ra,0.4645,0.0107
Onion+RL,0.4758,0.0130
SOLO+Ra,0.4188,0.0139
SOLO+RL,0.4365,0.0643
ROMEN+Ra,0.3272,0.0424
ROMEN+RL,0.4410,0.0000
BimodalRL,0.4410,0.0000
