Method,Mean,Std
Baseline,0.3280,0.0098
RCP,1.0000,0.0000
Bi-level,1.0000,0.0000
Bimodal+Random,0.7320,0.1840
Random+RL,0.9040,0.1920
GA+RL,0.8960,0.2080
Onion+Ra,0.7440,0.0388
Onion+RL,0.8120,0.0968
SOLO+Ra,0.6840,0.0612
SOLO+RL,0.8000,0.2453
ROMEN+Ra,0.6680,0.2130
ROMEN+RL,1.0000,0.0000
BimodalRL,1.0000,0.0000
