Baseline,RCP,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL,SOLO+Ra,SOLO+RL,ROMEN+Ra,ROMEN+RL,BimodalRL
0.34,1.0,1.0,0.56,1.0,1.0,0.76,1.0,0.68,1.0,0.36,1.0,1.0
0.32,1.0,1.0,0.88,0.52,1.0,0.8,0.8,0.62,1.0,0.84,1.0,1.0
0.32,1.0,1.0,0.88,1.0,1.0,0.68,0.78,0.72,0.52,0.84,1.0,1.0
0.34,1.0,1.0,0.46,1.0,0.48,0.74,0.74,0.78,1.0,0.46,1.0,1.0
0.32,1.0,1.0,0.88,1.0,1.0,0.74,0.74,0.62,0.48,0.84,1.0,1.0
