Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.6321,1.6094,2.3237,0.2242
RCP,0.6321,1.6094,3.0852,0.4410
Bi-level,0.6321,1.6094,2.8611,0.4176
Bimodal+Random,0.6321,1.6094,2.5631,0.4192
Random+RL,0.6321,1.6094,2.7167,0.4727
GA+RL,0.6321,1.6094,2.5333,0.4709
Onion+Ra,0.6321,1.6094,2.2994,0.4645
Onion+RL,0.6321,1.6094,2.5587,0.4758
SOLO+Ra,0.6321,1.6094,2.3026,0.4188
SOLO+RL,0.6321,1.6094,2.4705,0.4365
ROMEN+Ra,0.6321,1.6094,2.3344,0.3272
ROMEN+RL,0.6321,1.6094,3.0852,0.4410
BimodalRL,0.6321,1.6094,3.0852,0.4410
