Method,Mean,Std
Baseline,0.2164,0.0000
RCP,0.3784,0.0000
Bi-level,0.3288,0.0000
Bimodal+Random,0.1209,0.0000
Random+RL,0.3515,0.0000
GA+RL,0.2749,0.0000
Onion+Ra,0.3441,0.0000
Onion+RL,0.4185,0.0000
SOLO+Ra,0.0954,0.0000
SOLO+RL,0.3056,0.0000
ROMEN+Ra,0.2201,0.0000
ROMEN+RL,0.3847,0.0000
