Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9592,2.7726,2.6460,0.2164
RCP,0.9592,2.7726,3.0721,0.3784
Bi-level,0.8427,2.4288,2.4800,0.3288
Bimodal+Random,0.8280,2.3446,1.9953,0.1209
Random+RL,0.1760,0.1222,0.3247,0.3515
GA+RL,0.8582,2.4200,2.0718,0.2749
Onion+Ra,0.9446,2.7109,2.5000,0.3441
Onion+RL,0.9446,2.7109,2.4447,0.4185
SOLO+Ra,0.9592,2.7726,2.4696,0.0954
SOLO+RL,0.9592,2.7726,2.7291,0.3056
ROMEN+Ra,0.9592,2.7726,2.7073,0.2201
ROMEN+RL,0.9592,2.7726,3.1088,0.3847
