Method,Mean,Std
Baseline,0.6905,0.0000
RCP,0.5952,0.0000
Bi-level,0.6905,0.0000
Bimodal+Random,0.7143,0.0000
Random+RL,0.1905,0.0000
GA+RL,0.6190,0.0000
Onion+Ra,0.6667,0.0000
Onion+RL,0.5238,0.0000
SOLO+Ra,0.7857,0.0000
SOLO+RL,0.6667,0.0000
ROMEN+Ra,0.1190,0.0000
ROMEN+RL,0.5238,0.0000
