Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.6321,1.6094,2.5721,0.3569
RCP,0.6321,1.6094,2.8874,0.4108
Bi-level,0.6321,1.6094,2.3325,0.4295
Bimodal+Random,0.6321,1.6094,1.9257,0.2608
Random+RL,0.5507,1.3863,1.6847,0.1602
GA+RL,0.6321,1.6094,1.9959,0.3824
Onion+Ra,0.5407,1.4179,1.7959,0.2971
Onion+RL,0.5407,1.4179,2.2779,0.3459
SOLO+Ra,0.6321,1.6094,1.6690,0.4034
SOLO+RL,0.6321,1.6094,1.9447,0.4045
ROMEN+Ra,0.6321,1.6094,1.9437,0.0667
ROMEN+RL,0.6321,1.6094,2.9279,0.3700
