Method,Mean,Std
Baseline,0.3569,0.0000
RCP,0.4108,0.0000
Bi-level,0.4295,0.0000
Bimodal+Random,0.2608,0.0000
Random+RL,0.1602,0.0000
GA+RL,0.3824,0.0000
Onion+Ra,0.2971,0.0000
Onion+RL,0.3459,0.0000
SOLO+Ra,0.4034,0.0000
SOLO+RL,0.4045,0.0000
ROMEN+Ra,0.0667,0.0000
ROMEN+RL,0.3700,0.0000
