Method,Mean,Std
Baseline,0.5128,0.1186
RCP,0.4919,0.1055
Random,0.7007,0.1561
Hybrid,0.6168,0.0886
Bi-level,0.7477,0.0302
Bimodal+Random,0.6859,0.1095
Random+RL,0.6953,0.1111
GA+RL,0.6235,0.1105
Onion+Ra,0.6597,0.0416
Onion+RL,0.6174,0.0801
