Baseline,RCP,Random,Hybrid,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL
0.436241610738255,0.5771812080536913,0.6174496644295302,0.5436241610738255,0.7516778523489933,0.48322147651006714,0.6778523489932886,0.6577181208053692,0.7114093959731543,0.5771812080536913
0.5838926174496645,0.6308724832214765,0.5973154362416108,0.5369127516778524,0.7248322147651006,0.738255033557047,0.6442953020134228,0.6912751677852349,0.7181208053691275,0.6174496644295302
0.6442953020134228,0.46308724832214765,0.6174496644295302,0.6711409395973155,0.6711409395973155,0.7449664429530202,0.6778523489932886,0.40939597315436244,0.6912751677852349,0.6845637583892618
0.3624161073825503,0.6308724832214765,0.5369127516778524,0.5436241610738255,0.7516778523489933,0.785234899328859,0.7046979865771812,0.7785234899328859,0.6577181208053692,0.7516778523489933
0.4899328859060403,0.30201342281879195,0.5570469798657718,0.5704697986577181,0.7919463087248322,0.6711409395973155,0.7919463087248322,0.7046979865771812,0.6510067114093959,0.5704697986577181
0.6510067114093959,0.47651006711409394,0.9328859060402684,0.6241610738255033,0.7516778523489933,0.7583892617449665,0.5100671140939598,0.7449664429530202,0.5704697986577181,0.5302013422818792
0.3422818791946309,0.4161073825503356,0.7449664429530202,0.6241610738255033,0.7583892617449665,0.738255033557047,0.697986577181208,0.4966442953020134,0.6308724832214765,0.46308724832214765
0.48322147651006714,0.3691275167785235,0.9463087248322147,0.7785234899328859,0.7718120805369127,0.6577181208053692,0.959731543624161,0.5302013422818792,0.6442953020134228,0.6442953020134228
0.436241610738255,0.5771812080536913,0.8926174496644296,0.7583892617449665,0.7516778523489933,0.48322147651006714,0.6711409395973155,0.6040268456375839,0.6375838926174496,0.6845637583892618
0.697986577181208,0.47651006711409394,0.5637583892617449,0.5167785234899329,0.7516778523489933,0.7986577181208053,0.6174496644295302,0.6174496644295302,0.6845637583892618,0.6510067114093959
