x_val,y_val
0.0,1.0
0.01,4.260925971137153
0.02,3.6275926378038195
0.03,3.491947474104635
0.04,2.912466670689958
0.05,2.1732210309317943
0.06,2.133522727272727
0.08,1.6994253575116738
0.09,1.2375479511830998
0.1,0.7607279810412176
0.11,0.36858240763346356
0.12,0.3587209346682526
0.13,0.35745097889619715
0.14,0.3583333378746396
0.15,0.35694207340837963
0.16,0.32430313854682735
0.17,0.32275131602346163
0.18,0.320119047164917
0.19,0.31151295915434635
0.2,0.3065629127698067
0.21,0.29934033480557526
0.22,0.28541193510356705
0.23,0.27832852681477865
0.98,1.0
0.99,0.0
1.0,0.0
