x_val,y_val
0.0,1.0
0.01,2.1972245773362196
0.02,2.0794415416798357
0.03,2.0794415416798357
0.04,1.945910149055313
0.05,1.6218607521579325
0.06,1.6220957063705495
0.08,1.4021082723611957
0.09,1.1196790175551168
0.1,0.7246919704769504
0.11,0.0627602166108864
0.12,0.06396171410398296
0.13,0.06458143637762753
0.14,0.06521436351143224
0.15,0.06586093594147825
0.16,0.06719688036269783
0.17,0.06859321793659609
0.18,0.0693153717009415
0.19,0.07081055490819625
0.2,0.07158483369291901
0.21,0.07319012915586921
0.22,0.07575108500341506
0.23,0.07948700320303707
0.98,-0.0
0.99,0.0
1.0,0.0
