x_val,y_val
0.0,1.0
0.01,0.8347011117784144
0.02,0.7981034820053451
0.03,0.7981034820053451
0.04,0.7534030360583936
0.05,0.6270548137509572
0.06,0.6198140602974781
0.08,0.5464250383085172
0.09,0.44808584531995077
0.1,0.3279740837684722
0.11,0.18126924692201785
0.12,0.17916146498106417
0.13,0.1791366675464647
0.14,0.17911127969675575
0.15,0.17908528009163213
0.16,0.17684804577757843
0.17,0.17455557111009132
0.18,0.17447165016244223
0.19,0.1720910572044474
0.2,0.1719733881055042
0.21,0.1694985166024064
0.22,0.1645733952318321
0.23,0.15710001399908227
0.98,0.18126924692201818
0.99,0.0
1.0,0.0
