Method,Mean,Std
Baseline,0.6376,0.0000
RCP,0.6309,0.0000
Bi-level,0.7584,0.0000
Bimodal+Random,0.6107,0.0000
Random+RL,0.7315,0.0000
GA+RL,0.7383,0.0000
Onion+Ra,0.7047,0.0000
Onion+RL,0.5839,0.0000
SOLO+Ra,0.6174,0.0000
SOLO+RL,0.4027,0.0000
ROMEN+Ra,0.4832,0.0000
ROMEN+RL,0.5369,0.0000
