Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9994,2.7081,2.5371,0.3145
RCP,0.9994,2.7081,2.5792,0.3341
Bi-level,0.9771,2.7081,3.8402,0.4503
Bimodal+Random,0.9940,2.5684,3.1524,0.3738
Random+RL,0.8950,2.7081,3.3582,0.4314
GA+RL,0.9771,2.7081,3.1768,0.4445
Onion+Ra,0.9994,2.7081,2.5651,0.3784
Onion+RL,0.9994,2.7081,2.7320,0.3372
SOLO+Ra,0.9994,2.7081,2.7985,0.3430
SOLO+RL,0.9994,2.7081,2.9973,0.2758
ROMEN+Ra,0.9994,2.7081,2.3297,0.3019
ROMEN+RL,0.9994,2.7081,2.6487,0.3252
