Method,Mean,Std
Baseline,0.0505,0.0000
RCP,0.1557,0.0000
Bi-level,0.3426,0.0000
Bimodal+Random,0.0541,0.0000
Random+RL,0.1230,0.0000
GA+RL,0.3552,0.0000
Onion+Ra,0.4029,0.0000
Onion+RL,0.4334,0.0000
SOLO+Ra,0.2050,0.0000
SOLO+RL,0.2389,0.0000
ROMEN+Ra,0.0975,0.0000
ROMEN+RL,0.1698,0.0000
