Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9997,2.7726,2.0356,0.0505
RCP,0.9997,2.7726,2.2235,0.1557
Bi-level,0.9720,2.5049,3.1680,0.3426
Bimodal+Random,0.9764,2.4205,2.2676,0.0541
Random+RL,0.9105,1.6264,1.3815,0.1230
GA+RL,0.9917,2.4017,2.2128,0.3552
Onion+Ra,0.9997,2.7726,2.1755,0.4029
Onion+RL,0.9997,2.7726,2.0188,0.4334
SOLO+Ra,0.9997,2.7726,2.5848,0.2050
SOLO+RL,0.9997,2.7726,2.6973,0.2389
ROMEN+Ra,0.9997,2.7726,2.1111,0.0975
ROMEN+RL,0.9997,2.7726,2.2252,0.1698
