Method,Mean,Std
Baseline,0.2753,0.1198
RCP,0.3671,0.0000
Bi-level,0.6899,0.0000
Bimodal+Random,0.2823,0.2174
Random+RL,0.1563,0.0829
GA+RL,0.4962,0.1299
Onion+Ra,0.6348,0.0906
Onion+RL,0.7082,0.0543
SOLO+Ra,0.3114,0.1560
SOLO+RL,0.4551,0.0832
ROMEN+Ra,0.2696,0.0906
ROMEN+RL,0.4557,0.0000
