Method,Mean,Std
Baseline,0.1141,0.0362
RCP,0.1557,0.0000
Bi-level,0.3307,0.0000
Bimodal+Random,0.1367,0.0729
Random+RL,0.1024,0.0537
GA+RL,0.2675,0.0546
Onion+Ra,0.3543,0.0392
Onion+RL,0.4199,0.0177
SOLO+Ra,0.1739,0.0613
SOLO+RL,0.2678,0.0445
ROMEN+Ra,0.1004,0.0258
ROMEN+RL,0.1699,0.0000
