x_val,y_val
0.0,1.0
0.01,0.8347011117784144
0.02,0.8347011117784144
0.03,0.8347011117784144
0.04,0.8347011117784144
0.05,0.82499528489727
0.06,0.8248810986986683
0.07,0.8247641937810523
0.08,0.8246444718774696
0.09,0.8041632662255456
0.1,0.8037862557866212
0.11,0.7929660561894937
0.12,0.7818719274886413
0.18,0.7981034820053451
0.2,0.753403036058394
0.21,0.7429391050020274
0.26,0.6988057880877978
0.27,0.6675159766808816
0.28,0.6670418886292617
0.29,0.6558023549747027
0.3,0.6551304263323107
0.31,0.4596404308605682
0.32,0.44040861349302357
0.33,0.4024914566746486
0.34,0.40002179702117974
0.35,0.395626235819357
0.36,0.3312051842464535
0.5,0.3296799539643605
0.51,0.314694501511435
0.52,0.2606771729020525
0.53,0.08634474984780874
0.54,0.0
1.0,0.0
