x_val,y_val
0.0,1.0
0.01,3.5904494382022487
0.02,3.4490530303030287
0.03,3.328160919540228
0.04,3.3099944629014377
0.05,3.2785434173669454
0.06,3.131774376417234
0.07,3.0112449799196783
0.08,2.9143147502903597
0.09,2.823824221046444
0.1,2.7697767857142868
0.11,2.627587356384825
0.12,2.6035820660820663
0.13,2.5958569929349147
0.14,2.586221234905446
0.15,2.231647300068353
0.16,2.191820586820587
0.17,2.0525535275535276
0.18,2.043820296902489
0.19,2.034613997113998
0.2,1.975914070280267
0.21,1.8125383614820234
0.22,1.810290661719233
0.23,1.782588305414392
0.24,1.7936115355232998
0.25,1.78305065581185
0.26,1.7919569067296341
0.27,1.7913020313020318
0.28,1.8000135281385283
0.29,1.8093543141162194
0.3,1.8115207373271895
0.31,1.8216042154566747
0.32,1.8229689754689764
0.33,1.8186300046469543
0.34,1.827387172214759
0.35,1.8381914381914393
0.36,1.85038845083488
0.37,1.816255411255412
0.38,1.8204518732296522
0.39,1.606679894179894
0.4,1.6141734052111412
0.41,1.585446497946498
0.42,1.5838072602778481
0.43,1.5901652236652233
0.44,1.5967826957622873
0.45,1.5477971681096676
0.46,1.5451997175401428
0.47,1.3891139657444003
0.5,1.2522095959595958
0.51,1.259597637504614
0.52,1.2435760667903526
0.53,1.2435760667903526
0.54,1.2405448210326258
0.55,1.249862012987013
0.56,1.1824409920563768
0.57,1.0022489618643466
0.58,0.9811821219715957
0.59,0.9914521664521666
0.6,0.9178447324280659
0.61,0.784875283446712
0.62,0.8079598506069093
0.63,0.8324434824434823
0.64,0.8289558531746032
0.65,0.7868791602662568
0.66,0.7925529100529101
0.67,0.8198823207443897
0.68,0.7824971655328795
0.69,0.8114785420340973
0.7,0.6570665445665446
0.71,0.6590317460317461
0.72,0.6864914021164021
0.73,0.7163388543823327
0.74,0.7488997113997115
0.75,0.7845616024187453
0.76,0.7663095238095239
0.77,0.0
1.0,0.0
