x_val,y_val
0.0,1.0
0.01,4.122097378277154
0.02,3.4350187265917613
0.03,3.253219696969697
0.04,3.1890804597701154
0.05,3.03798449612403
0.06,2.9621568627450983
0.07,2.925510204081633
0.08,2.849254159495122
0.09,2.8036295005807195
0.1,2.7408289241622565
0.11,2.4576488095238096
0.16,2.16641604010025
0.17,2.0815079365079368
0.18,1.9396879021879019
0.19,1.9254240052185254
0.2,1.8352182539682542
0.21,1.637161860049183
0.3,1.5112433862433856
0.31,1.4957832937671642
0.32,1.2885180687736133
0.49,1.1558623874310152
0.5,0.7347603562509981
0.51,0.503188778086179
0.52,0.49929644740569123
0.53,0.4264944843137096
0.57,0.17345228945461136
0.58,0.17271869624810796
0.59,0.11600529100529101
0.6,0.0
1.0,0.0
