x_val,y_val
0.0,1.0
0.01,0.8646647167633863
0.02,0.8347011117784144
0.03,0.8347011117784144
0.04,0.8347011117784144
0.05,0.82499528489727
0.06,0.8248810986986683
0.07,0.8247641937810523
0.08,0.8246444718774696
0.09,0.8041632662255456
0.1,0.8037862557866212
0.11,0.7681746014301447
0.16,0.753403036058394
0.17,0.753403036058394
0.18,0.7432219139494968
0.19,0.732761856988301
0.2,0.7010833807765611
0.21,0.6685125531222369
0.3,0.6988057880877979
0.31,0.6875347269896077
0.32,0.6873499554961948
0.49,0.6321205588285573
0.5,0.4511883639059739
0.51,0.31089459082549853
0.52,0.3104473202745733
0.53,0.30193725716105746
0.57,0.18126924692201826
0.58,0.17147090925055783
0.59,0.0503525685894495
0.6,0.0
1.0,0.0
