x_val,y_val
0.0,1.0
0.01,3.72962962962963
0.02,2.998333333333332
0.03,2.3748412698412675
0.04,2.373729266987692
0.05,1.8788121990369175
0.06,1.4172017121455318
0.07,1.4026650432900427
0.08,1.3829228243021348
0.09,1.3420358065706899
0.1,1.3216059757236227
0.11,1.3044548374905514
0.12,1.3014247466054694
0.13,1.3010646535036776
0.14,1.300916127767979
0.15,1.2919940476190472
0.16,1.2788376532047419
0.17,1.2710673585673586
0.18,1.2707070707070707
0.19,1.268969298245614
0.2,1.2620322270322273
0.21,1.267224854724855
0.22,1.2747227658186566
0.23,1.2742173721340389
0.24,1.2830706460988153
0.25,1.2818310657596372
0.26,1.2896020243846331
0.27,1.2926412231559292
0.28,1.3007818052594176
0.29,1.3081409331409337
0.3,1.311605616605617
0.31,1.315916418650794
0.32,1.3223670949861428
0.33,1.32523681515617
0.34,1.326567785584179
0.35,1.3350925925925927
0.36,1.3441417810061882
0.37,1.3487690948897848
0.38,1.3385066200855675
0.39,1.3307120954442382
0.4,1.339077134986226
0.41,1.3405723905723907
0.42,1.3430450053091565
0.43,1.3496420246420249
0.44,1.3564977506153975
0.45,1.320945165945166
0.46,1.333722060252673
0.47,1.3216104497354502
0.48,1.3276933468422834
0.49,1.3565562456866807
0.5,1.3613051146384483
0.53,1.1373108157991878
0.54,1.1370086923658351
0.55,1.1490224545102594
0.56,1.1461014679764678
0.57,1.1553421649575495
0.58,1.125908521303258
0.59,1.1284105534105533
0.63,0.8857758254817076
0.64,0.879163933709388
0.65,0.8607672709235207
0.66,0.8458024949960433
0.67,0.8267736892736891
0.68,0.8552831268348507
0.69,0.837869769119769
0.7,0.8689019827908715
0.71,0.7677503052503051
0.72,0.6776815406815406
0.73,0.7059182715432715
0.74,0.7366103703060224
0.75,0.7700926598653871
0.82,0.7109126984126984
0.83,0.0
1.0,0.0
