x_val,y_val
0.0,1.0
0.01,3.7640740740740743
0.02,3.2583333333333346
0.03,2.811111111111112
0.04,2.7764044943820227
0.05,2.310112359550562
0.06,2.2767045454545456
0.07,2.2130268199233716
0.08,1.8164750957854403
0.09,1.8170542635658913
0.1,1.814705882352941
0.11,1.8156746031746034
0.12,1.4013888888888888
0.13,1.3905622489959837
0.14,0.9987951807228916
0.15,0.9863821138211386
0.16,0.9734567901234571
0.17,0.9541666666666669
0.18,0.955907172995781
0.19,0.9538461538461542
0.2,0.9549783549783555
0.21,0.9536340852130331
0.22,0.9530158730158736
0.23,0.9510296010296015
0.24,0.9558382257012398
0.25,0.9347552910052914
0.26,0.9100268276324616
0.27,0.911496598639456
0.28,0.8807683459857376
0.29,0.8739262371615314
0.3,0.876522151149017
0.31,0.8764189514189514
0.32,0.5535714285714288
0.33,0.5532783882783884
0.34,0.5556981646825397
0.35,0.5537855883093977
0.36,0.5338337289950194
0.37,0.5271089111253044
0.38,0.5292273929773929
0.39,0.4951777036522798
0.4,0.4627881218398459
0.41,0.44170921670921665
0.42,0.44627282439782434
0.43,0.447077417531963
0.48,0.2105902267666974
0.49,0.20861155511155513
0.5,0.05102040816326531
0.51,0.052083333333333336
0.52,0.05319148936170213
0.53,0.05434782608695652
0.54,0.05555555555555555
0.55,0.056818181818181816
0.56,0.05813953488372093
0.57,0.05952380952380952
0.58,0.06097560975609756
0.59,0.0625
0.6,0.0641025641025641
0.61,0.06578947368421052
0.62,0.0
1.0,0.0
