x_val,y_val
0.0,1.0
0.01,2.3025850929940455
0.02,2.1972245773362196
0.03,2.1972245773362196
0.04,2.1972245773362196
0.05,2.1972245773362196
0.06,2.1972245773362196
0.07,2.1972245773362196
0.08,2.1972245773362196
0.09,2.1972245773362196
0.1,2.1972245773362196
0.11,2.0794415416798357
0.16,1.945910149055313
0.17,1.945910149055313
0.18,1.945910149055313
0.19,1.945910149055313
0.2,1.945910149055313
0.21,1.945910149055313
0.3,1.7917594692280547
0.31,1.7917594692280547
0.32,1.7917594692280547
0.49,1.6094379124341005
0.5,1.0986122886681096
0.51,0.7511114222142301
0.52,0.752260404389649
0.53,0.7547157730606757
0.57,0.12169240267806193
0.58,0.12974069471942834
0.59,0.3250829733914482
0.6,0.0
1.0,0.0
