Method,Mean,Std
Baseline,0.0940,0.0000
RCP,0.2013,0.0000
Bi-level,0.5570,0.0000
Bimodal+Random,0.1208,0.0000
Random+RL,0.9530,0.0000
GA+RL,0.4765,0.0000
Onion+Ra,0.6174,0.0000
Onion+RL,0.6980,0.0000
SOLO+Ra,0.5302,0.0000
SOLO+RL,0.7114,0.0000
ROMEN+Ra,0.0940,0.0000
ROMEN+RL,0.2013,0.0000
