Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9994,2.7081,2.3027,0.0510
RCP,0.9994,2.7081,2.5792,0.1129
Bi-level,0.9940,2.5684,3.6778,0.3616
Bimodal+Random,0.9940,2.5684,3.2543,0.0907
Random+RL,0.9817,2.0794,2.2996,0.4556
GA+RL,0.9985,2.5649,2.8576,0.3270
Onion+Ra,0.9994,2.7081,2.0501,0.3730
Onion+RL,0.9994,2.7081,2.0570,0.4214
SOLO+Ra,0.9994,2.7081,2.8174,0.2904
SOLO+RL,0.9994,2.7081,3.1080,0.3654
ROMEN+Ra,0.9994,2.7081,2.5590,0.0510
ROMEN+RL,0.9994,2.7081,2.6763,0.1191
