Method,Mean,Std
Baseline,0.0510,0.0000
RCP,0.1129,0.0000
Bi-level,0.3616,0.0000
Bimodal+Random,0.0907,0.0000
Random+RL,0.4556,0.0000
GA+RL,0.3270,0.0000
Onion+Ra,0.3730,0.0000
Onion+RL,0.4214,0.0000
SOLO+Ra,0.2904,0.0000
SOLO+RL,0.3654,0.0000
ROMEN+Ra,0.0510,0.0000
ROMEN+RL,0.1191,0.0000
