Method,Mean,Std
Baseline,0.2421,0.0000
RCP,0.5759,0.0000
Bi-level,1.0634,0.0000
GA+RL,0.7103,0.0000
Onion+Ra,0.2254,0.0000
Onion+RL,N/A,N/A
ROMEN+Ra,0.2421,0.0000
ROMEN+RL,N/A,N/A
BimodalRL,0.4977,0.0000
UNITY+Ra,0.2154,0.0000
UNITY+RL,N/A,N/A
