Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9592,2.7726,2.5327,0.0411
RCP,0.9592,2.7726,3.0721,0.3784
Bi-level,0.8427,2.4288,2.4800,0.3288
Bimodal+Random,0.8248,2.3319,1.9909,0.1709
Random+RL,0.1760,0.0443,0.3002,0.4536
GA+RL,0.8547,2.3103,1.9361,0.2564
Onion+Ra,0.9446,2.7109,2.4345,0.3864
Onion+RL,0.9446,2.7109,2.9057,0.4397
SOLO+Ra,0.9592,2.7726,2.4544,0.1463
SOLO+RL,0.9592,2.7726,2.6999,0.2429
ROMEN+Ra,0.9592,2.7726,2.6823,0.0411
ROMEN+RL,0.9592,2.7726,3.1088,0.3847
