Method,Mean,Std
Baseline,0.7181,0.0000
RCP,0.6040,0.0000
Random,0.5503,0.0000
Hybrid,0.6846,0.0000
Bi-level,0.7248,0.0000
Bimodal+Random,0.3960,0.0000
Random+RL,0.4899,0.0000
GA+RL,0.6107,0.0000
Onion+Ra,0.4161,0.0000
Onion+RL,0.6174,0.0000
SOLO+Ra,0.6107,0.0000
SOLO+RL,0.5570,0.0000
