Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9994,2.7081,2.2256,0.3708
RCP,0.9994,2.7081,2.5792,0.3010
Random,0.9817,2.0794,1.8695,0.3546
Hybrid,0.9895,2.5710,2.6185,0.4121
Bi-level,0.9940,2.5684,3.5935,0.4189
Bimodal+Random,0.9940,2.5684,3.0381,0.2616
Random+RL,0.9817,2.0794,1.9418,0.3215
GA+RL,0.9895,2.5710,2.9090,0.3908
Onion+Ra,0.9994,2.7081,2.2068,0.2931
Onion+RL,0.9994,2.7081,2.5637,0.2736
SOLO+Ra,0.9994,2.7081,2.8639,0.3999
SOLO+RL,0.9994,2.7081,3.0423,0.3670
