Method,Mean,Std
Baseline,0.2223,0.0000
RCP,0.2652,0.0000
Bi-level,0.3985,0.0000
Bimodal+Random,0.4421,0.0000
Random+RL,0.4022,0.0000
GA+RL,0.3534,0.0000
Onion+Ra,0.3249,0.0000
Onion+RL,0.3058,0.0000
SOLO+Ra,0.3647,0.0000
SOLO+RL,0.3320,0.0000
ROMEN+Ra,0.3610,0.0000
ROMEN+RL,0.3101,0.0000
