Method,Mean,Std
Baseline,0.1935,0.0000
RCP,0.3412,0.0000
Bi-level,0.4324,0.0000
Bimodal+Random,0.3590,0.0000
Random+RL,0.3489,0.0000
GA+RL,0.4167,0.0000
Onion+Ra,0.3425,0.0000
Onion+RL,0.2735,0.0000
SOLO+Ra,0.3637,0.0000
SOLO+RL,0.3255,0.0000
ROMEN+Ra,0.3631,0.0000
ROMEN+RL,0.1924,0.0000
