Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.9994,2.7081,2.4422,0.1935
RCP,0.9994,2.7081,2.5792,0.3412
Bi-level,0.9940,2.5684,3.5935,0.4324
Bimodal+Random,0.9940,2.5684,2.7362,0.3590
Random+RL,0.9502,1.7918,1.6561,0.3489
GA+RL,0.9914,2.4019,2.3890,0.4167
Onion+Ra,0.9994,2.7081,2.3559,0.3425
Onion+RL,0.9994,2.7081,2.4087,0.2735
SOLO+Ra,0.9994,2.7081,2.8809,0.3637
SOLO+RL,0.9994,2.7081,3.1271,0.3255
ROMEN+Ra,0.9994,2.7081,2.3389,0.3631
ROMEN+RL,0.9994,2.7081,2.6433,0.1924
