Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.6321,1.6094,2.3874,0.2222
RCP,0.6321,1.6094,3.0704,0.5000
Bi-level,0.6321,1.6094,2.8611,0.4176
Bimodal+Random,0.6321,1.6094,2.4484,0.3706
Random+RL,0.6158,1.5648,2.5693,0.4743
GA+RL,0.6321,1.6094,2.5119,0.4655
Onion+Ra,0.6321,1.6094,2.2633,0.4695
Onion+RL,0.6321,1.6094,2.5767,0.4740
SOLO+Ra,0.6321,1.6094,2.3056,0.4037
SOLO+RL,0.6321,1.6094,2.4907,0.4877
ROMEN+Ra,0.6321,1.6094,2.3570,0.2742
ROMEN+RL,0.6321,1.6094,3.0704,0.5000
BimodalRL,0.6321,1.6094,3.0704,0.5000
