Method,Mean,Std
Baseline,0.2222,0.0324
RCP,0.5000,0.0000
Bi-level,0.4176,0.0000
Bimodal+Random,0.3706,0.0304
Random+RL,0.4743,0.0186
GA+RL,0.4655,0.0442
Onion+Ra,0.4695,0.0057
Onion+RL,0.4740,0.0143
SOLO+Ra,0.4037,0.0414
SOLO+RL,0.4877,0.0192
ROMEN+Ra,0.2742,0.0608
ROMEN+RL,0.5000,0.0000
BimodalRL,0.5000,0.0000
