Baseline,RCP,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL,SOLO+Ra,SOLO+RL,ROMEN+Ra,ROMEN+RL,BimodalRL
0.4,1.0,1.0,0.68,1.0,1.0,0.76,0.76,0.72,1.0,0.28,1.0,1.0
0.28,1.0,1.0,0.48,1.0,0.56,0.8,0.8,0.68,1.0,0.58,1.0,1.0
0.28,1.0,1.0,0.52,1.0,1.0,0.78,1.0,0.7,0.72,0.64,1.0,1.0
0.28,1.0,1.0,0.68,0.98,1.0,0.74,0.72,0.52,1.0,0.62,1.0,1.0
0.28,1.0,1.0,0.48,1.0,1.0,0.76,0.76,0.46,1.0,0.28,1.0,1.0
