Method,Mean,Std
Baseline,0.5700,0.0000
RCP,1.0000,0.0000
Bi-level,0.5500,0.0000
GA+RL,0.5700,0.0000
Onion+Ra,0.7700,0.0000
Onion+RL,0.8300,0.0000
ROMEN+Ra,0.5400,0.0000
ROMEN+RL,0.9900,0.0000
BimodalRL,0.9900,0.0000
UNITY+Ra,0.5900,0.0000
UNITY+RL,0.5000,0.0000
