Method,Mean,Std
Baseline,0.9624,0.0000
RCP,0.4553,0.0000
Bi-level,0.8798,0.0000
GA+RL,0.6657,0.0000
Onion+Ra,1.2918,0.0000
Onion+RL,1.0237,0.0000
ROMEN+Ra,0.8377,0.0000
ROMEN+RL,0.3808,0.0000
BimodalRL,0.3808,0.0000
UNITY+Ra,0.9024,0.0000
UNITY+RL,0.5535,0.0000
