Method,Mean,Std
Baseline,0.4343,0.0486
RCP,0.4669,0.0153
Bi-level,0.4439,0.0247
Bimodal+Random,0.4360,0.0368
Random+RL,0.4352,0.0269
GA+RL,0.4089,0.0485
Onion+Ra,0.4017,0.0260
Onion+RL,0.4328,0.0208
SOLO+Ra,0.4342,0.0317
SOLO+RL,0.4049,0.0270
ROMEN+Ra,0.4257,0.0241
ROMEN+RL,0.4652,0.0108
