Method,Mean,Std
Baseline,0.8024,0.1583
RCP,0.8095,0.0745
Bi-level,0.8381,0.1074
Bimodal+Random,0.7952,0.1737
Random+RL,0.7643,0.0979
GA+RL,0.6929,0.1552
Onion+Ra,0.7714,0.0929
Onion+RL,0.7881,0.0710
SOLO+Ra,0.7524,0.1229
SOLO+RL,0.6929,0.1007
ROMEN+Ra,0.7048,0.0545
ROMEN+RL,0.8024,0.0186
