x_val,nn
0.0,1.0
0.002,0.998
0.004,0.996
0.006,0.992
0.008,0.99
0.01,0.986
0.012,0.984
0.014,0.982
0.016,0.98
0.018,0.976
0.02,0.974
0.022,0.972
0.024,0.97
0.026,0.968
0.028,0.962
0.03,0.96
0.032,0.958
0.046,0.952
0.048,0.948
0.05,0.946
0.052,0.944
0.054,0.938
0.056,0.936
0.058,0.93
0.06,0.928
0.062,0.924
0.064,0.922
0.066,0.918
0.068,0.914
0.07,0.912
0.072,0.91
0.074,0.908
0.076,0.904
0.078,0.902
0.096,0.9
0.098,0.896
0.1,0.894
0.102,0.89
0.104,0.888
0.106,0.886
0.108,0.884
0.11,0.88
0.112,0.876
0.114,0.872
0.116,0.87
0.118,0.866
0.12,0.864
0.122,0.862
0.124,0.858
0.126,0.85
0.128,0.848
0.13,0.846
0.132,0.842
0.134,0.84
0.136,0.836
0.16,0.832
0.162,0.824
0.164,0.822
0.166,0.818
0.168,0.812
0.17,0.804
0.172,0.8
0.174,0.796
0.176,0.79
0.178,0.788
0.18,0.784
0.182,0.78
0.184,0.778
0.186,0.776
0.188,0.774
0.19,0.762
0.192,0.758
0.194,0.756
0.196,0.752
0.198,0.748
0.2,0.744
0.202,0.742
0.204,0.732
0.206,0.73
0.208,0.728
0.266,0.722
0.268,0.716
0.27,0.712
0.282,0.706
0.284,0.702
0.286,0.692
0.288,0.686
0.29,0.68
0.292,0.67
0.294,0.664
0.316,0.662
0.318,0.652
0.32,0.642
0.322,0.638
0.324,0.63
0.326,0.604
0.328,0.602
0.33,0.596
0.332,0.586
0.334,0.582
0.336,0.576
0.338,0.572
0.34,0.548
0.4,0.546
0.402,0.542
0.404,0.542
0.406,0.53
0.408,0.526
0.41,0.522
0.412,0.518
0.414,0.51
0.416,0.506
0.418,0.502
0.42,0.498
0.422,0.496
0.424,0.486
0.426,0.482
0.428,0.474
0.43,0.456
0.504,0.44
0.506,0.432
0.508,0.428
0.51,0.406
0.512,0.394
0.514,0.394
0.516,0.33
0.518,0.328
0.52,0.318
0.522,0.238
0.524,0.238
0.594,0.238
0.596,0.238
0.598,0.238
0.6,0.232
0.602,0.232
0.604,0.186
0.605,0.0
1.0,0.0
