Method,Mean,Std
Baseline,0.8280,0.1068
RCP,0.7620,0.0456
Bi-level,0.7940,0.0237
Bimodal+Random,0.6900,0.0744
Random+RL,0.7710,0.0217
GA+RL,0.7620,0.0920
Onion+Ra,0.7540,0.0461
Onion+RL,0.7660,0.0304
SOLO+Ra,0.7890,0.1088
SOLO+RL,0.7460,0.0665
ROMEN+Ra,0.7760,0.0254
ROMEN+RL,0.7800,0.0415
