Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - random)
Baseline,0.8647,2.3026,4.2877,0.4698
RCP,0.8647,2.3026,5.2074,0.4653
Bi-level,0.8647,2.3026,5.6056,0.4734
Bimodal+Random,0.8647,2.3026,4.2454,0.4357
Random+RL,0.8617,2.2920,4.3819,0.4673
GA+RL,0.8647,2.3026,4.2540,0.4606
Onion+Ra,0.8647,2.3026,3.9187,0.4539
Onion+RL,0.8647,2.3026,4.2644,0.4533
SOLO+Ra,0.8647,2.3026,3.8872,0.4643
SOLO+RL,0.8647,2.3026,4.1641,0.4587
ROMEN+Ra,0.8647,2.3026,4.2808,0.4623
ROMEN+RL,0.8647,2.3026,5.2074,0.4668
