Method,Mean,Std
Baseline,0.4698,0.0157
RCP,0.4653,0.0117
Bi-level,0.4734,0.0051
Bimodal+Random,0.4357,0.0221
Random+RL,0.4673,0.0065
GA+RL,0.4606,0.0153
Onion+Ra,0.4539,0.0151
Onion+RL,0.4533,0.0121
SOLO+Ra,0.4643,0.0161
SOLO+RL,0.4587,0.0161
ROMEN+Ra,0.4623,0.0136
ROMEN+RL,0.4668,0.0107
