Baseline,RCP,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL,SOLO+Ra,SOLO+RL,ROMEN+Ra,ROMEN+RL
0.4593999999999999,0.480895,0.4772,0.4692,0.46564999999999995,0.46965,0.46869500000000003,0.451635,0.46681500000000004,0.43313500000000005,0.47235000000000005,0.4406
0.45393,0.44329999999999997,0.464035,0.45264,0.47295000000000004,0.45165000000000005,0.45522000000000007,0.45123500000000005,0.49235500000000004,0.47195500000000007,0.436525,0.46169499999999997
0.4947100000000001,0.4749,0.46568,0.40526,0.45458,0.466885,0.451745,0.43554000000000004,0.47035000000000005,0.43343000000000004,0.46488,0.46254500000000004
0.46525,0.469635,0.4774,0.4354,0.47255,0.44989,0.42988,0.43709,0.4408,0.47740000000000005,0.4576,0.47520000000000007
0.48910499999999996,0.463545,0.47269999999999995,0.42883999999999994,0.45738,0.48425,0.44984999999999997,0.45154500000000003,0.4912,0.46498999999999996,0.470345,0.467005
0.46488,0.4538999999999999,0.4736,0.45199500000000004,0.47329000000000004,0.46809,0.45145,0.4767,0.45216500000000004,0.447425,0.438545,0.46447
0.487655,0.45074,0.480175,0.45885,0.4736,0.42693500000000006,0.4700000000000001,0.4473499999999999,0.45101500000000005,0.47814500000000004,0.46289499999999995,0.47437999999999997
0.442545,0.47334999999999994,0.47730000000000006,0.395425,0.46874,0.456745,0.472395,0.463545,0.46387,0.45819999999999994,0.47569,0.48139
0.47234500000000007,0.47609999999999997,0.4694499999999999,0.42919,0.47014,0.47625,0.42634,0.46685,0.46283,0.4716,0.46714999999999995,0.47445
0.46785000000000004,0.46625000000000005,0.47620000000000007,0.43015000000000003,0.46370000000000006,0.45529000000000003,0.4631,0.45174500000000006,0.4513499999999999,0.45028499999999994,0.47695,0.466695
