Method,Mean,Std
Baseline,0.2843,0.1636
RCP,0.6144,0.0000
Bi-level,0.7908,0.0000
Bimodal+Random,0.0451,0.0233
Random+RL,0.8013,0.2197
GA+RL,0.5516,0.1346
Onion+Ra,0.6882,0.1341
Onion+RL,0.7340,0.0358
SOLO+Ra,0.3131,0.1162
SOLO+RL,0.4464,0.1459
ROMEN+Ra,0.2556,0.1797
ROMEN+RL,0.6144,0.0000
