Baseline,RCP,Bi-level,Bimodal+Random,Random+RL,GA+RL,Onion+Ra,Onion+RL,SOLO+Ra,SOLO+RL,ROMEN+Ra,ROMEN+RL
0.22889565978897006,0.37841080353710105,0.40577581272160274,0.025110256738861123,0.443639326754667,0.2737486864026657,0.39607215173651167,0.40473702422145325,0.14025453885257808,0.15990510060233243,0.14773029603998464,0.38473315818702203
0.1356622880088855,0.37841080353710105,0.40577581272160274,0.0033664829766329187,0.37781321286684605,0.2064043103080012,0.3492767098124652,0.40801480199923107,0.09731579734290231,0.23634352172241443,0.18874016403947197,0.38473315818702203
0.19420814643940362,0.37841080353710105,0.282319022598146,0.01195292408902559,0.353125122816011,0.23937981118373275,0.34872136784997215,0.42134300909906447,0.22739397240377626,0.3389322696398821,0.14063900636507326,0.38473315818702203
0.04110463924131744,0.37841080353710105,0.40577581272160274,0.03326951172625913,0.43595651245247546,0.27868420265709765,0.38267636379170406,0.3702452475543594,0.17675432525951557,0.3054014268016575,0.04110463924131744,0.38473315818702203
0.04110463924131744,0.37841080353710105,0.2456237344611047,0.015712161988978596,0.44983679354094575,0.32153097099406214,0.365876158742364,0.3992821137169465,0.17982201290102093,0.4518114186851211,0.040809111880046135,0.38473315818702203
0.2630278311760434,0.37841080353710105,0.40577581272160274,0.031688923063778886,0.38626823016788414,0.3544456619249006,0.3911278781665171,0.4191726472724167,0.13909961980434876,0.2733099448929899,0.2528608014011704,0.38473315818702203
0.2220606817890555,0.37841080353710105,0.40577581272160274,0.03326951172625913,0.4431726899910291,0.3123070186680337,0.37534533726344566,0.393322867273271,0.07578561664317143,0.18787925584177026,0.04110463924131744,0.38473315818702203
0.22505098466401807,0.37841080353710105,0.40577581272160274,0.025110256738861123,0.348355461574608,0.3061030159340425,0.3075981673715238,0.4218918151138451,0.1639141142295698,0.1461645307360417,0.18224693493955318,0.38473315818702203
0.04110463924131744,0.37841080353710105,0.40577581272160274,0.03386056644880175,0.0870045068136187,0.31467965312486657,0.3677233329061472,0.3909258404887009,0.18446176684181298,0.18975887479174677,0.04110463924131744,0.38473315818702203
0.14773029603998464,0.37841080353710105,0.40577581272160274,0.015712161988978596,0.3663399974368832,0.22108644111239267,0.35472660088000346,0.39231897987953357,0.21437133153915164,0.23410406254004876,0.1356622880088855,0.38473315818702203
