Method,Mean,Std
Baseline,0.1540,0.0821
RCP,0.3784,0.0000
Bi-level,0.3774,0.0573
Bimodal+Random,0.0229,0.0101
Random+RL,0.3692,0.1013
GA+RL,0.2828,0.0455
Onion+Ra,0.3639,0.0244
Onion+RL,0.4021,0.0155
SOLO+Ra,0.1599,0.0454
SOLO+RL,0.2524,0.0889
ROMEN+Ra,0.1212,0.0725
ROMEN+RL,0.3847,0.0000
