Method,CSA,Control Entropy (H_C),Weighted Control Potential (WCP),Robustness (R - degree)
Baseline,0.9592,2.7726,2.6341,0.1540
RCP,0.9592,2.7726,3.0721,0.3784
Bi-level,0.1707,0.7376,0.5207,0.3774
Bimodal+Random,0.1707,0.7376,0.3805,0.0229
Random+RL,0.1921,0.2301,0.3455,0.3692
GA+RL,0.8554,2.3666,2.1328,0.2828
Onion+Ra,0.9446,2.7109,2.3890,0.3639
Onion+RL,0.9446,2.7109,2.3127,0.4021
SOLO+Ra,0.9535,2.7613,2.4139,0.1599
SOLO+RL,0.9535,2.7613,2.6720,0.2524
ROMEN+Ra,0.9592,2.7726,2.6099,0.1212
ROMEN+RL,0.9592,2.7726,3.1088,0.3847
