Method,Mean,Std
Baseline,0.3218,0.0349
RCP,0.3866,0.0000
Bi-level,0.3616,0.0000
Bimodal+Random,0.3896,0.0224
Random+RL,0.4259,0.0358
GA+RL,0.4280,0.0370
Onion+Ra,0.4392,0.0116
Onion+RL,0.4546,0.0159
SOLO+Ra,0.4334,0.0165
SOLO+RL,0.4229,0.0332
ROMEN+Ra,0.3244,0.0425
ROMEN+RL,0.3818,0.0000
